accuracy,precision,recall,f1_score,auc,dataset
0.4,0.4,1.0,0.5714285714285714,0.5,analcatdata_aids
0.5294117647058824,0.2857142857142857,0.4,0.3333333333333333,0.5833333333333334,analcatdata_asbestos
0.4,0.4,1.0,0.5714285714285714,0.5,analcatdata_bankruptcy
0.55,0.55,1.0,0.7096774193548387,1.0,analcatdata_creditscore
0.75,0.8,0.5,0.6153846153846154,0.90625,analcatdata_cyyoung8092
0.7894736842105263,0.25,0.5,0.3333333333333333,0.9117647058823529,analcatdata_cyyoung9302
0.5555555555555556,0.0,0.0,0.0,0.5,analcatdata_fraud
0.8181818181818182,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.875,analcatdata_japansolvent
0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.9142857142857143,labor
0.9444444444444444,1.0,0.8571428571428571,0.9230769230769231,0.974025974025974,lupus
0.42857142857142855,0.42857142857142855,1.0,0.6,0.5,parity5
0.7222222222222222,0.0,0.0,0.0,0.43846153846153846,postoperative_patient_data
0.4583333333333333,0.4583333333333333,1.0,0.6285714285714286,0.7552447552447552,analcatdata_boxing1
0.7777777777777778,0.7647058823529411,0.8666666666666667,0.8125,0.8777777777777777,analcatdata_boxing2
0.9545454545454546,0.6666666666666666,1.0,0.8,0.975,appendicitis
0.8888888888888888,0.0,0.0,0.0,0.796875,backache
1.0,1.0,1.0,1.0,1.0,corral
0.8181818181818182,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.9323308270676692,glass2
0.7741935483870968,0.8214285714285714,0.92,0.8679245283018868,0.7266666666666667,hepatitis
0.9090909090909091,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9401709401709402,molecular_biology_promoters
0.7692307692307693,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.903030303030303,mux6
0.95,1.0,0.8888888888888888,0.9411764705882353,0.9823232323232323,prnn_crabs
1.0,1.0,1.0,1.0,1.0,analcatdata_lawsuit
0.9047619047619048,0.8888888888888888,0.96,0.9230769230769231,0.9505882352941176,biomed
0.7758620689655172,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.7175324675324676,breast_cancer
0.8135593220338984,0.84375,0.8181818181818182,0.8307692307692308,0.8566433566433567,heart_h
0.8703703703703703,0.9090909090909091,0.8,0.851063829787234,0.9227586206896552,heart_statlog
0.7966101694915254,0.6666666666666666,0.7368421052631579,0.7,0.8657894736842104,hungarian
0.86,0.8571428571428571,0.8888888888888888,0.8727272727272727,0.9291465378421899,prnn_synth
0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.927437641723356,sonar
0.8518518518518519,0.8863636363636364,0.9285714285714286,0.9069767441860465,0.8323412698412699,spect
0.463768115942029,0.3888888888888889,0.84,0.5316455696202531,0.5345454545454545,bupa
0.8688524590163934,0.8421052631578947,0.7619047619047619,0.8,0.9321428571428572,cleve
0.7702702702702703,0.7777777777777778,0.8936170212765957,0.8316831683168316,0.7785657998423956,colic
0.7419354838709677,0.5,0.1875,0.2727272727272727,0.641304347826087,haberman
0.8032786885245902,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.8856209150326797,heart_c
0.7702702702702703,0.75,0.5555555555555556,0.6382978723404256,0.8215130023640662,horse_colic
0.9295774647887324,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9652173913043478,ionosphere
0.8857142857142857,0.9183673469387755,0.9183673469387755,0.9183673469387755,0.9387755102040817,spectf
1.0,1.0,1.0,1.0,1.0,clean1
0.9540229885057471,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9866557734204793,house_votes_84
1.0,1.0,1.0,1.0,1.0,irish
0.7096774193548387,0.5714285714285714,0.27586206896551724,0.37209302325581395,0.7392241379310345,saheart
0.9540229885057471,0.9142857142857143,0.9696969696969697,0.9411764705882353,0.9921436588103254,vote
